Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
30,607,31,May 5,PIT,,WSN,L2-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.250,.309,.429,.738,3,.76,0.010,.89,0.01%,0.23,CF
31,608,32,May 7,PIT,,SEA,W4-1,CG,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,.276,.331,.457,.788,3,.64,0.140,.70,0.09%,2.00,CF
32,609,33,May 8,PIT,,SEA,L1-2,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.275,.328,.450,.778,3,1.23,0.007,1.38,0.00%,0.49,CF
33,610,34,May 9,PIT,@,NYM,L2-3,CG,5,4,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.282,.338,.452,.790,3,1.61,0.023,1.82,0.02%,0.26,CF
34,611,35,May 10,PIT,@,NYM,W7-3,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.271,.326,.434,.760,3,.53,-0.073,.59,-0.05%,-2.46,CF
35,612,36,May 11,PIT,@,NYM,W11-2,GS-6,3,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.275,.333,.435,.768,3,.58,0.086,.64,0.06%,0.99,CF
36,613,37,May 12,PIT,@,NYM,W3-2,CG,5,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.276,.342,.433,.775,3,1.13,0.054,1.30,0.04%,0.18,CF
37,614,38,May 13,PIT,,MIL,L1-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.333,.420,.754,3,.59,-0.059,.73,-0.04%,-0.62,CF
38,615,39,May 14,PIT,,MIL,W4-3,CG(12),6,5,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.266,.333,.434,.767,3,2.02,0.244,2.36,0.17%,0.14,CF
39,616,40,May 15,PIT,,MIL,W3-1,CG,4,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,.260,.331,.425,.756,3,1.57,-0.026,1.93,-0.02%,-0.31,CF
