Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,263,1,Apr 1,PIT,@,CHC,W6-3,CG,5,4,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,.500,.600,1.500,2.100,3,.49,0.124,.51,0.08%,2.41,CF
2,264,2,Apr 2,PIT,@,CHC,L3-5,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.286,.444,.857,1.302,3,.81,-0.039,.84,-0.03%,-0.44,CF
3,265,4 (1),Apr 4,PIT,@,STL,W4-3,CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.273,.385,.909,1.294,3,.97,0.100,1.07,0.07%,0.45,CF
4,266,5,Apr 5,PIT,@,STL,L2-3,CG,4,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,.357,.471,.857,1.328,3,.83,0.025,.95,0.02%,-0.07,CF
5,267,6,Apr 6,PIT,@,STL,W3-1,CG,5,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.389,.500,.833,1.333,3,.77,-0.042,.84,-0.03%,-0.12,CF
6,268,7,Apr 7,PIT,,COL,L1-7,CG,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.318,.423,.682,1.105,3,.66,-0.051,.72,-0.03%,-0.78,CF
7,269,8,Apr 8,PIT,,COL,W4-3,CG(14),6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.259,.375,.556,.931,3,1.77,-0.184,1.80,-0.11%,-0.66,CF
8,270,9,Apr 9,PIT,,COL,L4-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.361,.516,.877,3,1.20,-0.031,1.27,-0.02%,-0.37,CF
9,271,10,Apr 10,PIT,,COL,L5-6,CG,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.257,.350,.486,.836,3,1.64,0.069,1.72,0.04%,0.82,CF
10,272,11,Apr 13,PIT,,MIL,L0-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.318,.436,.754,3,.39,-0.040,.41,-0.03%,-0.78,CF
11,273,12,Apr 14,PIT,,MIL,L1-4,CG,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,.220,.333,.415,.748,3,1.40,-0.093,1.39,-0.06%,0.33,CF
12,274,13,Apr 15,PIT,@,CIN,W6-1,CG,5,5,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,.196,.302,.370,.671,1,.61,-0.079,.58,-0.05%,-1.19,CF
13,275,14,Apr 16,PIT,@,CIN,L2-11,CG,5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,.204,.328,.367,.695,1,.71,0.005,.76,0.00%,0.39,CF
14,276,15,Apr 17,PIT,@,CIN,W7-6,CG,5,3,1,3,0,0,1,2,2,0,0,0,0,0,0,0,0,1,.250,.381,.462,.842,1,1.14,0.390,1.10,0.23%,2.45,CF
15,277,16,Apr 18,PIT,@,CIN,W9-3,CG,6,5,1,1,1,0,0,2,1,0,2,0,0,0,0,0,0,0,.246,.377,.456,.833,1,.41,0.057,.43,0.04%,0.83,CF
16,278,17,Apr 19,PIT,@,FLA,L0-6,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.230,.356,.426,.782,1,.39,-0.043,.38,-0.03%,-0.90,CF
17,279,19 (1),Apr 21,PIT,@,FLA,L5-9,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.212,.333,.394,.727,1,.53,-0.066,.47,-0.03%,-1.24,CF
18,280,20,Apr 23,PIT,,WSN,W7-2,CG,4,2,3,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,.221,.354,.397,.751,1,.33,0.068,.29,0.04%,1.28,CF
19,281,21,Apr 24,PIT,,WSN,L3-6,CG,5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.233,.356,.411,.767,1,.94,0.000,.86,0.00%,0.65,CF
20,282,22,Apr 25,PIT,,WSN,W4-2,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.237,.363,.408,.771,1,.72,0.016,.62,0.01%,0.39,CF
21,283,23,Apr 26,PIT,,SFG,L2-3,CG(10),5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.344,.383,.726,1,1.44,-0.184,1.31,-0.10%,-0.84,CF
22,284,24,Apr 27,PIT,,SFG,W2-0,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.212,.330,.365,.695,1,.97,-0.091,.82,-0.05%,-1.06,CF
23,285,25,Apr 28,PIT,,SFG,L2-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.202,.317,.348,.666,1,.75,-0.072,.67,-0.04%,-0.69,CF
24,286,26,Apr 29,PIT,@,COL,W3-0,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.207,.324,.380,.705,1,.72,0.073,.62,0.04%,0.89,CF
25,287,27,Apr 30,PIT,@,COL,L1-4,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.219,.330,.417,.747,1,.95,0.089,.82,0.05%,0.89,CF
26,288,28,May 1,PIT,@,COL,W8-4,CG,6,6,1,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,.225,.331,.412,.742,1,.87,0.047,.69,0.02%,0.33,CF
