Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1191,1,Apr 3,PIT,@,BOS,L3-5,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,3,1.10,-0.119,1.02,-0.07%,-1.15,RF
2,1192,2,Apr 5,PIT,@,BOS,L0-3,CG(12),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,3,1.71,-0.227,1.58,-0.13%,-1.21,RF
3,1193,3,Apr 7,PIT,,ATL,W5-4,CG,5,4,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.231,.286,.231,.516,3,.88,0.126,.78,0.07%,1.37,RF
4,1194,4,Apr 8,PIT,,ATL,W6-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.188,.278,.188,.465,3,.85,-0.084,.76,-0.05%,-0.75,RF
5,1195,5,Apr 9,PIT,,ATL,W6-5,CG(10),4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.150,.227,.150,.377,3,2.10,-0.420,2.03,-0.24%,-1.90,RF
6,1196,6,Apr 10,PIT,,CIN,L1-7,GS-8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.231,.167,.397,3,.74,-0.039,.84,-0.03%,-0.41,RF
7,1197,7,Apr 11,PIT,,CIN,L2-6,CG,5,4,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.214,.290,.214,.505,3,.73,-0.070,.80,-0.05%,-0.27,RF
8,1198,8,Apr 12,PIT,,CIN,L2-9,CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.314,.281,.596,3,.26,0.020,.27,0.01%,0.18,RF
9,1199,9,Apr 13,PIT,@,BOS,L3-4,CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.250,.308,.361,.669,3,1.22,0.060,.98,0.03%,0.55,RF
10,1200,10,Apr 14,PIT,@,CHC,W4-2,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.302,.350,.652,3,.89,0.000,.80,0.00%,-0.34,RF
11,1201,11,Apr 15,PIT,@,CHC,W8-7,CG,4,4,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.250,.298,.409,.707,3,1.43,0.415,1.39,0.24%,1.96,RF
12,1202,12,Apr 16,PIT,@,CHC,W6-1,CG,4,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.250,.294,.438,.732,3,1.64,0.141,1.70,0.09%,0.98,RF
13,1203,13,Apr 17,PIT,@,STL,L1-2,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.291,.423,.714,3,.71,-0.051,.72,-0.03%,-0.32,RF
14,1204,14,Apr 18,PIT,@,STL,L1-2,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.305,.446,.752,3,1.52,0.032,1.54,0.02%,0.47,CF
15,1205,15,Apr 19,PIT,@,STL,L1-2,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.254,.302,.424,.725,3,1.75,-0.004,1.65,0.00%,-0.17,CF
16,1206,16,Apr 21,PIT,,NYY,W6-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.254,.299,.413,.711,3,.72,0.166,.60,0.08%,1.66,CF
17,1207,17,Apr 22,PIT,,NYY,L5-11,CG,5,2,1,1,0,0,1,2,2,0,1,0,0,1,0,0,1,0,.262,.319,.462,.781,3,1.22,0.189,1.07,0.10%,1.24,CF
18,1208,18,Apr 23,PIT,,NYY,W2-1,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.265,.329,.456,.785,3,1.37,0.001,1.17,0.00%,-0.19,CF
19,1209,19,Apr 24,PIT,,CHC,L3-14,GS-4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.261,.333,.449,.783,3,.26,0.004,.26,0.00%,-0.23,CF
20,1210,20,Apr 25,PIT,,CHC,L0-1,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.329,.431,.760,3,1.01,-0.033,.97,-0.02%,-0.43,CF
21,1211,21,Apr 26,PIT,,CHC,W6-5,CG,4,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.250,.326,.434,.760,3,.75,0.002,.68,0.00%,0.05,CF
22,1212,22,Apr 28,PIT,@,MIA,W12-2,GS-7,4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.263,.333,.438,.771,3,.56,0.084,.46,0.04%,1.68,CF
23,1213,23,Apr 29,PIT,@,MIA,W4-0,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.253,.330,.422,.751,3,.69,-0.001,.63,0.00%,-0.16,CF
24,1214,24,Apr 30,PIT,@,MIA,L3-10,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.244,.327,.407,.734,3,1.05,-0.025,1.02,-0.02%,-0.70,CF
25,1215,25,May 1,PIT,@,CIN,L3-4,CG(10),4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,.247,.333,.438,.772,3,1.00,0.037,1.02,0.02%,0.74,CF
26,1216,26,May 2,PIT,@,CIN,W12-3,CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.237,.327,.419,.746,3,.39,0.021,.39,0.01%,-0.38,CF
27,1217,27,May 3,PIT,@,CIN,L2-7,CG,5,5,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.235,.321,.439,.760,3,.40,-0.035,.39,-0.02%,0.94,CF
28,1218,28,May 4,PIT,@,CIN,L2-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.235,.319,.431,.750,3,.74,-0.053,.70,-0.03%,-0.45,CF
29,1219,29,May 5,PIT,,MIL,W4-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.226,.308,.415,.723,3,.52,-0.068,.48,-0.04%,-0.87,CF
