Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,190,1,Apr 1,PIT,@,CHC,W5-3,CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.400,.250,.650,3,.94,-0.051,.99,-0.03%,-0.29,5.00,6.00,LF
2,191,2,Apr 3,PIT,@,CHC,L1-5,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.333,.250,.583,3,.97,-0.038,1.09,-0.03%,-0.55,3.00,3.00,LF
3,192,3,Apr 4,PIT,@,CHC,L3-4,CG,4,4,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.333,.385,.333,.718,3,.65,0.025,.70,0.02%,0.04,10.00,12.40,LF
4,193,4,Apr 5,PIT,@,CIN,L3-5,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,.333,.412,.533,.945,3,1.18,0.000,1.24,0.00%,0.44,16.00,21.70,LF
5,194,5,Apr 6,PIT,@,CIN,L1-14,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.316,.381,.526,.907,3,.20,0.011,.19,0.01%,-0.31,5.00,6.00,LF
6,195,6,Apr 7,PIT,@,CIN,L4-11,5-5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.364,.500,.864,9,.38,-0.012,.34,-0.01%,-0.26,0.00,0.00,PH
7,196,7,Apr 8,PIT,,CHC,L2-4,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.240,.296,.400,.696,3,1.18,-0.145,1.00,-0.07%,-1.28,0.00,0.00,LF
8,197,8,Apr 10,PIT,,CHC,W8-2,CG,5,4,1,1,1,0,0,2,1,0,2,0,0,0,0,0,0,0,.241,.313,.414,.726,3,.49,0.109,.37,0.05%,1.22,13.00,19.20,LF
9,198,9,Apr 11,PIT,,CHC,W7-1,CG,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.324,.378,.471,.849,3,.51,0.023,.43,0.01%,1.20,12.00,12.00,LF
10,199,10,Apr 12,PIT,,SDP,L2-6,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.297,.366,.432,.798,3,.62,-0.045,.52,-0.02%,-0.53,2.00,3.00,LF
