Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1038,1,Apr 3,PIT,,STL,W4-1,CG,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000,.500,.000,.500,2,.70,-0.017,.72,-0.01%,-0.22,CF
2,1039,2,Apr 5,PIT,,STL,W6-5,CG(11),5,5,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.429,.556,.571,1.127,2,1.37,0.099,1.52,0.07%,1.29,CF
3,1040,3,Apr 6,PIT,,STL,W5-1,CG,5,4,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.455,.571,.545,1.117,2,.47,-0.004,.53,0.00%,0.70,CF
4,1041,4,Apr 8,PIT,@,CIN,W6-5,CG,5,4,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,.333,.474,.400,.874,2,1.14,-0.027,1.38,-0.02%,-0.33,CF
5,1042,5,Apr 9,PIT,@,CIN,L1-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.316,.435,.368,.803,2,1.32,-0.277,1.61,-0.20%,-1.83,CF
6,1043,6,Apr 10,PIT,@,CIN,L1-2,CG,5,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.318,.464,.409,.873,2,1.24,0.004,1.50,0.00%,0.54,CF
7,1044,7,Apr 11,PIT,@,DET,W7-4,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.296,.424,.370,.795,2,.64,-0.052,.59,-0.03%,-0.62,CF
8,1045,8,Apr 12,PIT,@,DET,L2-8,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,.258,.378,.323,.701,2,.84,-0.062,.82,-0.04%,-1.00,CF
9,1046,9,Apr 13,PIT,,DET,L3-7,CG,4,4,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,.257,.366,.343,.709,2,1.12,0.018,1.08,0.01%,0.18,CF
10,1047,10,Apr 14,PIT,,DET,L4-7,CG,5,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,.263,.391,.368,.760,2,1.23,-0.037,1.14,-0.02%,-0.31,CF
11,1048,11,Apr 15,PIT,,MIL,L4-8,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.373,.349,.721,2,1.08,-0.084,1.07,-0.05%,-0.90,CF
12,1049,12,Apr 16,PIT,,MIL,W5-0,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.261,.382,.413,.795,2,.82,-0.008,.79,-0.01%,1.03,CF
13,1050,13,Apr 17,PIT,,MIL,W9-3,GS-9,6,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,.250,.361,.442,.803,2,.64,-0.066,.64,-0.04%,-1.88,CF
14,1051,14,Apr 19,PIT,@,SDP,L4-5,CG,5,4,2,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,.250,.364,.429,.792,2,1.76,-0.144,1.77,-0.09%,-0.35,CF
15,1052,15,Apr 20,PIT,@,SDP,L2-8,GS-7,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.237,.348,.407,.755,2,.80,-0.056,.71,-0.03%,-0.85,CF
16,1053,16,Apr 21,PIT,@,SDP,W11-1,GS-7,4,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.230,.356,.393,.750,2,.63,-0.029,.55,-0.02%,-0.21,CF
17,1054,17,Apr 22,PIT,@,ARI,W8-7,CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.227,.346,.379,.725,2,1.15,0.019,1.07,0.01%,-0.16,CF
18,1055,18,Apr 23,PIT,@,ARI,L1-7,CG,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.217,.341,.362,.704,2,1.17,-0.059,1.14,-0.04%,-0.15,CF
19,1056,19,Apr 24,PIT,@,ARI,W12-10,CG(13),7,6,2,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,.213,.337,.347,.684,2,1.17,-0.022,1.11,-0.01%,-0.44,CF
20,1057,21 (1),Apr 26,PIT,@,COL,W9-4,CG,5,5,3,3,0,0,3,5,0,0,0,0,0,0,0,0,0,0,.238,.351,.475,.826,2,.79,0.343,.78,0.20%,3.62,CF
21,1058,22,Apr 27,PIT,@,COL,W9-8,CG(12),6,5,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.247,.360,.482,.842,2,1.29,0.114,1.34,0.07%,1.00,CF
22,1059,23,Apr 29,PIT,,CIN,W4-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.236,.346,.461,.807,2,.78,-0.073,.92,-0.05%,-0.96,CF
23,1060,24,Apr 30,PIT,,CIN,W5-1,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.226,.339,.441,.780,2,.88,-0.073,1.07,-0.05%,-1.13,CF
24,1061,25,May 1,PIT,,CIN,L5-6,CG(11),5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.227,.342,.433,.775,2,1.24,0.054,1.51,0.04%,0.22,CF
25,1062,26,May 2,PIT,,CHC,L2-7,CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.228,.339,.455,.794,2,.70,0.055,1.01,0.05%,0.54,CF
