Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,421,1,Apr 5,PIT,,PHI,L0-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,.000,.250,.000,.250,3,1.57,-0.161,1.43,-0.09%,-1.14,CF
2,422,2,Apr 7,PIT,,PHI,W2-1,CG(10),4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,.143,.250,.143,.393,3,1.79,-0.015,1.55,-0.01%,-0.56,CF
3,423,3,Apr 8,PIT,,PHI,W5-4,CG,5,4,1,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,.364,.462,.455,.916,3,2.22,0.614,2.01,0.33%,1.93,CF
4,424,4,Apr 10,PIT,@,LAD,L1-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333,.412,.400,.812,3,1.98,-0.083,1.86,-0.05%,-0.13,CF
5,425,5,Apr 11,PIT,@,LAD,L1-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.316,.381,.368,.749,3,.99,-0.001,.88,0.00%,-0.15,CF
6,426,6,Apr 12,PIT,@,LAD,L2-3,CG,4,3,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,.409,.480,.500,.980,3,.97,0.103,.82,0.05%,1.01,CF
7,427,7,Apr 13,PIT,@,SFG,L0-5,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.360,.429,.440,.869,3,.44,-0.032,.36,-0.02%,-0.31,CF
8,428,8,Apr 14,PIT,@,SFG,L3-4,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.345,.406,.414,.820,3,.78,-0.058,.62,-0.03%,-0.43,CF
9,429,9,Apr 15,PIT,@,SFG,W4-1,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,.333,.405,.394,.799,3,.65,-0.018,.49,-0.01%,-0.42,CF
10,430,10,Apr 16,PIT,@,ARI,L1-5,CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.324,.390,.378,.769,3,.60,-0.025,.48,-0.01%,-0.27,CF
