Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,1618,1,Apr 1,PHI,,ATL,W3-2,CG(10),5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.250,.400,.250,.650,1,1.19,-0.064,1.24,-0.04%,-0.39,7.00,9.20,LF
2,1619,2,Apr 3,PHI,,ATL,W4-0,CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.167,.444,.167,.611,1,.87,-0.014,.98,-0.01%,0.10,4.00,6.00,LF
3,1620,3,Apr 4,PHI,,ATL,W2-1,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.111,.385,.111,.496,1,1.17,-0.070,1.28,-0.05%,-0.45,2.00,3.00,LF
4,1621,4,Apr 5,PHI,,NYM,W5-3,GS-8,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.412,.167,.578,1,1.27,0.036,1.57,0.03%,0.04,5.00,6.00,LF
5,1622,5,Apr 6,PHI,,NYM,L4-8,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.389,.154,.543,2,.44,-0.011,.55,-0.01%,-0.45,0.00,0.00,PH
6,1623,6,Apr 7,PHI,,NYM,W8-2,CG,5,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,.176,.391,.294,.685,1,.34,-0.051,.44,-0.04%,-0.30,15.00,18.00,LF
7,1624,7,Apr 9,PHI,@,ATL,L1-8,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.190,.370,.286,.656,1,.99,0.031,1.30,0.03%,0.02,5.00,6.50,LF
8,1625,8,Apr 10,PHI,@,ATL,L4-5,CG,4,3,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.208,.387,.417,.804,1,.76,0.129,.97,0.10%,1.10,18.00,24.90,LF
9,1626,9,Apr 11,PHI,@,ATL,W7-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.179,.343,.357,.700,1,.86,-0.094,1.08,-0.07%,-0.89,0.00,0.00,LF
10,1627,10,Apr 13 (1),PHI,@,NYM,L3-4,CG(8),4,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.156,.308,.313,.620,1,2.38,-0.126,3.24,-0.10%,-0.79,2.00,3.20,LF
11,1628,12 (1),Apr 14,PHI,@,NYM,L1-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.139,.279,.278,.557,1,.70,-0.071,.90,-0.05%,-0.59,0.00,0.00,LF
12,1629,13,Apr 16,PHI,,STL,W9-2,GS-9,5,5,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,.171,.292,.293,.584,1,.56,0.053,.57,0.03%,1.77,14.00,19.70,LF
13,1630,14,Apr 17,PHI,,STL,L4-9,CG,5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.182,.321,.295,.616,1,.45,0.006,.46,0.00%,0.56,7.00,9.00,LF
14,1631,15,Apr 18,PHI,,STL,W2-0,GS-9,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.170,.316,.277,.592,1,.68,-0.012,.66,-0.01%,-0.25,2.00,3.00,LF
15,1632,16,Apr 19,PHI,,SFG,L0-2,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.157,.306,.255,.561,1,1.33,-0.084,1.30,-0.05%,-0.62,2.00,3.00,LF
16,1633,18 (1),Apr 21,PHI,,SFG,W6-5,CG,5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.164,.313,.255,.568,1,1.11,-0.017,1.03,-0.01%,0.01,10.00,12.00,LF
17,1634,19,Apr 23,PHI,@,COL,L4-5,GS-7,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,.155,.296,.241,.537,1,1.49,-0.136,1.47,-0.08%,-1.65,2.00,3.50,LF
18,1635,20,Apr 24,PHI,@,COL,W7-5,CG,5,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.164,.316,.246,.562,1,.86,0.025,.83,0.02%,0.18,9.00,12.20,LF
19,1636,21,Apr 25,PHI,@,COL,L2-12,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.154,.300,.231,.531,1,.53,-0.056,.54,-0.03%,-1.16,0.00,0.00,LF
20,1637,24 (2),Apr 28,PHI,@,STL,W5-3,CG,4,3,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.162,.310,.235,.545,5,1.45,0.159,1.44,0.10%,1.16,7.00,9.50,LF
21,1638,25,Apr 29,PHI,@,STL,L3-4,GS-9,5,5,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.178,.315,.260,.575,1,1.18,0.102,1.27,0.07%,0.83,12.00,15.70,LF
22,1639,26,Apr 30,PHI,,NYM,W2-1,GS-8,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.169,.301,.247,.548,1,1.30,-0.149,1.53,-0.11%,-2.05,0.00,0.00,LF
23,1640,27,May 1,PHI,,NYM,L4-5,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.175,.309,.250,.559,1,.90,0.025,1.10,0.02%,0.25,5.00,6.00,LF
24,1641,28,May 2,PHI,,NYM,L7-8,GS-8,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.179,.307,.286,.593,1,.69,0.052,.80,0.04%,0.51,14.00,18.70,LF
25,1642,29,May 3,PHI,,MIL,W4-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.176,.304,.282,.586,2,.54,-0.014,.52,-0.01%,-0.24,0.00,0.00,LF
26,1643,30,May 4,PHI,,MIL,W6-5,CG,4,4,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,.191,.311,.360,.671,1,.63,0.195,.65,0.12%,1.26,28.00,37.40,LF
27,1644,31,May 5,PHI,,MIL,W5-4,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.194,.309,.366,.675,1,.61,0.020,.65,0.01%,-0.02,7.00,9.20,LF
28,1645,32,May 6,PHI,,MIL,W2-0,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.198,.316,.365,.680,1,.87,-0.017,.98,-0.01%,0.04,7.00,9.20,LF
29,1646,33,May 7,PHI,@,ATL,W12-2,CG,6,6,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.206,.317,.363,.679,1,.38,-0.008,.50,-0.01%,0.21,10.00,13.00,LF
30,1647,34,May 8,PHI,@,ATL,L7-8,CG(12),6,5,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.224,.333,.374,.707,1,1.93,0.168,2.54,0.13%,1.86,15.00,18.70,LF
