Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
31,1532,31,May 3,PHI,,WSN,W4-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.248,.371,.444,.816,1,.85,-0.088,1.19,-0.07%,-0.92,,,CF
32,1533,32,May 4,PHI,,WSN,L8-10,CG,5,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.248,.372,.438,.810,1,1.36,0.016,1.92,0.01%,-0.09,,,CF LF
33,1534,33,May 5,PHI,,WSN,W7-1,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.248,.373,.432,.805,1,.98,-0.010,1.37,-0.01%,-0.10,,,LF
34,1535,34,May 6,PHI,@,STL,L0-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.248,.370,.426,.796,1,.56,-0.052,.70,-0.04%,-0.33,,,LF CF
35,1536,35,May 7,PHI,@,STL,W11-1,GS-9,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.242,.371,.417,.788,1,.41,-0.011,.51,-0.01%,-0.15,,,LF
36,1537,37 (1),May 10,PHI,@,KCR,L1-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.235,.362,.404,.766,1,.78,-0.106,1.00,-0.08%,-1.10,,,LF
37,1538,38,May 11,PHI,@,KCR,W7-0,CG,5,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.234,.357,.397,.754,1,.81,0.029,1.02,0.02%,-0.51,,,LF
38,1539,39,May 12,PHI,@,KCR,W6-1,CG,5,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.238,.370,.399,.769,1,.62,0.045,.78,0.03%,0.62,,,DH
39,1540,40,May 13,PHI,,MIL,W7-4,CG,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.371,.399,.769,1,.90,0.050,1.19,0.04%,0.42,,,LF
40,1541,41,May 14,PHI,,MIL,L1-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.363,.388,.751,1,.88,-0.100,1.14,-0.08%,-1.50,,,LF CF
41,1542,42,May 15,PHI,,MIL,L2-5,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.237,.360,.385,.745,1,.86,-0.026,1.11,-0.02%,0.17,,,CF LF
42,1543,43,May 16,PHI,,MIL,L3-11,CG,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.239,.363,.390,.753,1,.80,0.074,1.05,0.06%,0.45,,,LF CF
43,1544,44,May 17,PHI,,COL,W5-4,CG,4,2,2,1,0,0,1,2,2,0,1,0,0,0,0,0,0,1,.242,.371,.410,.781,1,.84,0.185,1.07,0.14%,1.58,,,LF
44,1545,45,May 18,PHI,,COL,W2-1,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.236,.364,.400,.764,1,.76,-0.079,.99,-0.06%,-1.00,,,LF
45,1546,46,May 19,PHI,,COL,W7-5,CG,5,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.243,.369,.402,.772,1,1.23,0.161,1.56,0.12%,1.62,,,LF
46,1547,47,May 20,PHI,@,CHC,W5-4,CG(10),5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,.244,.375,.401,.776,1,1.48,0.105,2.01,0.09%,0.92,,,LF
47,1548,48,May 21,PHI,@,CHC,L2-3,CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.244,.373,.398,.770,1,1.80,0.244,2.41,0.20%,0.89,,,LF
48,1549,49,May 22,PHI,@,CHC,L4-8,CG,5,5,2,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.254,.378,.425,.803,1,.58,0.064,.79,0.05%,1.49,,,LF
49,1550,50,May 23,PHI,@,CHC,W9-7,CG,5,4,2,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,.259,.383,.438,.821,1,.64,0.117,.85,0.09%,2.04,,,LF
50,1551,51,May 24,PHI,@,MIL,W6-4,CG,5,5,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,.263,.383,.447,.831,1,.98,0.162,1.33,0.13%,0.98,,,LF
51,1552,52,May 25,PHI,@,MIL,W7-2,CG,5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.263,.384,.459,.842,1,.77,0.073,1.06,0.06%,0.44,,,LF
52,1553,53,May 26,PHI,@,MIL,L1-9,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.258,.377,.449,.827,1,.52,-0.054,.71,-0.04%,-0.73,,,LF
53,1554,54,May 28,PHI,,STL,W4-3,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.375,.446,.821,1,.83,-0.016,1.12,-0.01%,-0.22,,,CF
54,1555,55,May 29,PHI,,STL,W11-4,GS-7,4,1,4,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,.261,.385,.463,.848,1,.53,0.068,.71,0.05%,2.63,,,LF
55,1556,56,May 30,PHI,,STL,L3-5,CG,5,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.261,.386,.459,.844,1,.96,-0.002,1.32,0.00%,0.17,,,LF
56,1557,57,May 31,PHI,@,LAD,L3-6,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.261,.383,.469,.853,1,1.45,-0.012,1.94,-0.01%,-0.05,,,CF LF
57,1558,58,Jun 1,PHI,@,LAD,L3-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.256,.377,.460,.838,1,1.06,-0.133,1.41,-0.11%,-1.13,,,LF CF
58,1559,59,Jun 2,PHI,@,LAD,L0-8,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.375,.457,.832,1,1.21,-0.038,1.63,-0.03%,-0.20,,,LF
59,1560,60,Jun 3,PHI,@,SDP,L2-8,GS-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.256,.378,.457,.834,1,.87,0.036,1.22,0.03%,0.38,,,CF
,,,,,,,32-27,,262,219,45,56,12,1,10,29,43,0,55,0,0,0,1,1,2,1,.256,.378,.457,.834,,.92,1.144,1.16,0.87%,11.25,,,
