Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,1502,1,Mar 28,PHI,,ATL,W10-4,CG,5,4,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.250,.400,1.000,1.400,1,.43,0.076,.47,0.05%,0.92,,,LF
2,1503,2,Mar 30,PHI,,ATL,W8-6,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.222,.500,.722,1,.71,-0.074,.79,-0.05%,-0.86,,,LF
3,1504,3,Mar 31,PHI,,ATL,W5-1,CG,5,3,2,1,0,0,1,1,2,0,2,0,0,0,0,0,0,0,.182,.357,.727,1.084,1,.82,0.159,.97,0.11%,1.14,,,LF
4,1505,4,Apr 2,PHI,@,WSN,W8-2,CG,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.267,.421,.667,1.088,1,.81,0.014,.98,0.01%,0.56,,,LF
5,1506,5,Apr 3,PHI,@,WSN,L8-9,CG,5,5,1,1,1,0,0,3,0,0,3,0,0,0,0,0,0,0,.250,.375,.600,.975,1,1.95,0.295,2.41,0.22%,0.78,,,LF
6,1507,6,Apr 5,PHI,,MIN,W10-4,CG,5,3,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.261,.414,.565,.979,1,.47,0.016,.48,0.01%,0.04,,,LF
7,1508,7,Apr 6,PHI,,MIN,L2-6,CG,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.269,.424,.577,1.001,1,1.22,-0.027,1.35,-0.02%,0.27,,,LF
8,1509,8,Apr 7,PHI,,MIN,W2-1,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.241,.405,.517,.923,1,.96,0.004,.98,0.00%,-0.28,,,LF
9,1510,9,Apr 8,PHI,,WSN,W4-3,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.212,.366,.455,.820,1,.77,-0.079,.96,-0.06%,-0.77,,,LF
10,1511,10,Apr 9,PHI,,WSN,L6-10,CG(10),5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.216,.370,.432,.802,1,1.10,0.013,1.41,0.01%,-0.29,,,LF
11,1512,11,Apr 10,PHI,,WSN,L1-15,GS-6,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.211,.388,.421,.809,1,.54,0.023,.67,0.02%,0.56,,,LF
12,1513,12,Apr 12,PHI,@,MIA,W9-1,CG,5,4,2,3,0,0,1,3,1,0,1,0,0,0,0,0,0,0,.262,.426,.524,.950,1,.39,0.066,.43,0.04%,2.31,,,LF
13,1514,13,Apr 13,PHI,@,MIA,L3-10,GS-8,4,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,.273,.448,.545,.994,1,.44,0.029,.52,0.02%,0.81,,,LF
14,1515,14,Apr 14,PHI,@,MIA,W3-1,CG(14),7,7,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.255,.415,.529,.945,1,1.54,0.025,1.77,0.02%,-0.51,,,LF
15,1516,15,Apr 15,PHI,,NYM,L6-7,CG(11),6,4,1,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,.273,.437,.545,.982,1,2.48,0.196,3.30,0.16%,1.27,,,LF
16,1517,16,Apr 16,PHI,,NYM,W14-3,CG,5,5,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,.283,.434,.550,.984,1,.20,0.037,.25,0.03%,0.80,,,LF
17,1518,17,Apr 17,PHI,,NYM,W3-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.266,.413,.516,.928,1,.72,-0.075,.95,-0.06%,-0.92,,,LF
18,1519,18,Apr 18,PHI,@,COL,L2-6,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.393,.485,.878,1,.97,-0.105,1.14,-0.07%,-1.16,,,LF
19,1520,19,Apr 19,PHI,@,COL,L3-4,GS-6,4,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.257,.409,.486,.895,1,1.06,0.052,1.19,0.04%,0.68,,,LF
20,1521,20,Apr 20,PHI,@,COL,W8-5,CG,5,5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.267,.409,.520,.929,1,.90,-0.040,1.02,-0.03%,0.05,,,LF
21,1522,21,Apr 21,PHI,@,COL,L1-4,CG,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.275,.408,.513,.921,1,1.18,-0.076,1.34,-0.05%,-0.65,,,LF
22,1523,22,Apr 22,PHI,@,NYM,L1-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.262,.392,.488,.880,1,.94,-0.138,1.28,-0.11%,-1.35,,,LF
23,1524,23,Apr 23,PHI,@,NYM,L0-9,GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.253,.381,.471,.852,1,.51,-0.038,.68,-0.03%,-0.62,,,LF
24,1525,24,Apr 24,PHI,@,NYM,W6-0,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.373,.457,.829,1,.72,-0.051,.93,-0.04%,-0.92,,,LF
25,1526,25,Apr 25,PHI,,MIA,L1-3,CG(10),4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.368,.458,.827,1,1.09,0.014,1.25,0.01%,0.04,,,LF CF
26,1527,26,Apr 26,PHI,,MIA,W4-0,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.240,.356,.440,.796,1,.56,-0.059,.63,-0.04%,-0.86,,,CF
27,1528,27,Apr 27,PHI,,MIA,W12-9,CG,5,3,2,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,.243,.366,.466,.832,1,.45,0.042,.56,0.03%,1.06,,,CF LF
28,1529,28,Apr 28,PHI,,MIA,W5-1,CG,4,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.238,.370,.457,.827,1,.41,0.012,.51,0.01%,1.40,,,CF
29,1530,29,Apr 30,PHI,,DET,L1-3,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.241,.374,.454,.828,1,1.15,0.063,1.36,0.05%,0.75,,,CF
30,1531,30,May 1,PHI,,DET,W7-3,CG,5,5,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.257,.382,.460,.843,1,.85,0.068,.98,0.05%,0.25,,,CF LF
