Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
30,30,50,May 26,PIT,,LAD,L7-11,CG,5,5,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.319,.373,.564,.936,5,.60,0.152,.60,0.09%,1.24,,,LF
31,31,51,May 27 (1),PIT,@,CIN,W8-5,CG,5,5,1,1,0,1,0,2,0,0,2,0,0,0,0,1,0,0,.313,.364,.566,.930,2,2.08,0.116,2.01,0.07%,0.09,,,LF
32,32,52,May 27 (2),PIT,@,CIN,L1-8,CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.320,.369,.573,.942,3,.31,0.020,.33,0.01%,-0.02,,,LF
33,33,53,May 28,PIT,@,CIN,L6-11,7-9,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.327,.381,.577,.957,6,.03,0.002,.03,0.00%,0.64,,,LF
34,34,54,May 29,PIT,@,CIN,W7-2,CG,5,4,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.333,.390,.574,.964,2,.68,0.082,.67,0.05%,0.82,,,LF
35,35,55,May 30,PIT,,MIL,L5-11,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.339,.393,.571,.965,5,1.04,0.011,1.19,0.01%,0.30,,,LF
36,36,56,May 31,PIT,,MIL,W9-4,CG,5,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.345,.402,.569,.971,5,.66,0.054,.71,0.04%,0.86,,,LF
37,37,57,Jun 1,PIT,,MIL,L10-12,3-4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.345,.406,.569,.975,9,2.00,0.037,2.40,0.03%,0.34,,,PH
38,38,58,Jun 2,PIT,,MIL,L2-4,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.350,.409,.575,.984,2,.84,0.098,.89,0.06%,0.48,,,LF
39,39,59,Jun 4,PIT,,ATL,L5-12,CG,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.347,.409,.565,.973,2,.58,-0.016,.48,-0.01%,-0.19,,,LF
40,40,60,Jun 5,PIT,,ATL,W7-4,CG,5,5,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.341,.401,.550,.952,2,.45,0.080,.35,0.04%,0.76,,,LF
41,41,61,Jun 6,PIT,,ATL,W6-1,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.338,.397,.541,.939,2,.48,0.009,.40,0.01%,0.51,,,LF
42,42,62,Jun 7,PIT,@,MIL,L4-10,CG,4,4,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,.343,.400,.555,.955,2,.95,0.006,1.02,0.00%,1.29,,,CF
43,43,63,Jun 8,PIT,@,MIL,L3-5,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.340,.396,.546,.942,2,1.43,-0.053,1.36,-0.03%,-0.14,,,RF
44,44,64,Jun 9,PIT,@,MIL,L2-5,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.345,.399,.545,.944,2,.77,0.026,.65,0.01%,-0.02,,,LF
45,45,65,Jun 10,PIT,@,ATL,L7-13,CG,5,5,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,.333,.387,.527,.913,2,.59,0.001,.37,0.00%,-0.47,,,LF
46,46,66,Jun 11,PIT,@,ATL,L5-7,8-8,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.338,.390,.543,.933,8,.65,0.065,.37,0.02%,1.14,,,PH
47,47,67,Jun 12,PIT,@,ATL,L7-8,8-GF(11),2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.386,.536,.921,9,2.79,-0.113,1.49,-0.04%,-0.55,,,PH LF
48,48,68,Jun 13,PIT,@,ATL,L5-6,CG,5,4,1,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,.344,.398,.554,.952,2,1.11,0.276,.51,0.08%,2.50,,,LF
49,49,69,Jun 14,PIT,@,MIA,W11-0,CG,5,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.358,.409,.568,.977,2,.50,0.033,.19,0.01%,1.83,,,RF
50,50,70,Jun 15,PIT,@,MIA,L3-4,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.358,.411,.564,.975,2,1.00,0.019,.46,0.01%,-0.10,,,RF
51,51,71,Jun 16,PIT,@,MIA,W5-4,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.355,.411,.556,.967,2,1.36,0.020,.55,0.01%,-0.29,,,CF LF
52,52,72,Jun 18,PIT,,DET,L4-5,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.347,.405,.543,.949,2,2.47,-0.198,1.12,-0.05%,-0.90,,,LF
53,53,73,Jun 19,PIT,,DET,W8-7,CG,4,4,3,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.356,.412,.565,.977,2,1.11,0.360,.45,0.09%,2.46,,,RF LF
54,54,74,Jun 21,PIT,,SDP,W2-1,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.354,.409,.558,.967,2,.85,-0.048,.41,-0.01%,-0.51,,,LF RF
55,55,75,Jun 22,PIT,,SDP,W6-3,CG,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.357,.411,.562,.973,2,1.48,-0.015,.86,-0.01%,-0.06,,,RF
56,56,76,Jun 23,PIT,,SDP,W11-10,CG(11),6,3,1,2,0,0,0,2,1,0,0,1,0,1,0,0,0,0,.362,.418,.564,.982,2,2.05,0.275,1.33,0.11%,1.33,,,LF
57,57,79 (2),Jun 27,PIT,@,HOU,W10-0,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.354,.413,.552,.965,2,.30,0.011,.24,0.01%,-1.05,,,RF
58,58,80,Jun 28,PIT,@,MIL,W3-2,CG,5,4,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.362,.422,.561,.983,2,1.03,0.177,1.04,0.11%,1.11,,,RF LF
59,59,81,Jun 29,PIT,@,MIL,L1-3,GS-8,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.357,.419,.553,.972,2,1.16,-0.036,1.38,-0.03%,-0.08,,,RF
60,60,82,Jun 30,PIT,@,MIL,L1-2,6-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.355,.417,.550,.967,9,1.86,-0.048,1.93,-0.03%,-0.25,,,RF
61,61,83,Jul 1,PIT,,CHC,W18-5,GS-9,6,5,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.351,.415,.541,.956,2,.35,0.021,.32,0.01%,-0.72,,,RF
62,62,84,Jul 2,PIT,,CHC,W5-1,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.346,.412,.534,.946,2,.67,-0.064,.69,-0.04%,-0.97,,,RF
63,63,85,Jul 3,PIT,,CHC,W6-5,5-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.344,.410,.531,.941,9,1.17,-0.030,1.34,-0.02%,-0.24,,,PH
64,64,86,Jul 4,PIT,,CHC,L3-11,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.338,.403,.521,.924,2,.92,0.007,1.20,0.01%,-0.24,,,LF
65,65,87,Jul 5,PIT,,MIL,L6-7,GS-8,4,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,.338,.405,.519,.923,2,1.68,0.003,2.01,0.00%,0.02,,,RF
66,66,88,Jul 6,PIT,,MIL,W12-2,CG,5,2,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.339,.413,.518,.931,2,.66,0.049,.66,0.03%,0.78,,,RF LF
67,67,89,Jul 7,PIT,,MIL,W6-5,CG,4,4,1,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,.342,.414,.536,.950,2,1.44,0.253,1.66,0.18%,2.39,,,LF
68,68,90,Jul 12,PIT,@,CHC,L3-4,CG,4,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.339,.416,.531,.947,2,1.00,-0.004,1.35,0.00%,-0.11,,,LF
69,69,91,Jul 13,PIT,@,CHC,L4-10,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.333,.409,.522,.931,2,.47,-0.045,.60,-0.04%,-1.81,,,LF
70,70,92,Jul 14,PIT,@,CHC,L3-8,CG,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.336,.411,.522,.932,2,1.36,0.123,1.55,0.09%,0.57,,,RF
71,71,93,Jul 15,PIT,@,STL,L0-7,CG,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.343,.416,.530,.945,2,.45,0.089,.40,0.05%,0.98,,,RF
72,72,94,Jul 16,PIT,@,STL,W3-1,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.339,.413,.523,.936,2,1.17,-0.049,1.00,-0.03%,-0.12,,,RF
73,73,95,Jul 17,PIT,@,STL,L5-6,CG,5,5,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,.340,.413,.520,.934,2,1.99,0.192,1.74,0.10%,1.82,,,RF
74,74,96,Jul 19,PIT,,PHI,L1-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.339,.411,.516,.927,2,1.08,-0.053,.68,-0.02%,-0.23,,,RF
75,75,97,Jul 20,PIT,,PHI,W5-1,CG,5,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.340,.411,.514,.924,2,.52,0.087,.27,0.03%,0.77,,,RF
76,76,98,Jul 21,PIT,,PHI,L1-2,CG(11),5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.333,.403,.504,.907,2,2.02,-0.344,1.20,-0.12%,-1.81,,,LF
77,77,99,Jul 22,PIT,,STL,L5-6,CG(10),5,5,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,.331,.400,.502,.902,2,2.19,-0.114,1.15,-0.04%,-0.60,,,RF
78,78,100,Jul 23,PIT,,STL,L3-4,CG,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.328,.401,.498,.899,2,1.38,0.085,.63,0.02%,0.88,,,RF
79,79,102 (1),Jul 25,PIT,,STL,L3-6,CG,4,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.328,.399,.496,.896,2,1.09,-0.020,.29,0.00%,0.02,,,RF
80,80,103,Jul 26,PIT,@,NYM,L3-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.327,.397,.493,.890,5,1.63,-0.060,.26,-0.01%,-0.39,,,RF
81,81,104,Jul 27,PIT,@,NYM,L0-3,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.327,.397,.491,.888,5,1.29,-0.064,.15,-0.01%,-0.79,,,RF
82,82,105,Jul 28,PIT,@,NYM,L7-8,CG,5,4,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.326,.397,.498,.895,2,.63,-0.021,.07,0.00%,1.25,,,RF
83,83,106,Jul 29,PIT,@,CIN,L6-11,CG,4,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.326,.398,.507,.905,5,.28,-0.018,.03,0.00%,0.90,,,RF
84,84,107,Jul 30,PIT,@,CIN,W11-4,CG,5,4,2,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.329,.401,.510,.912,2,.38,0.068,.03,0.00%,0.53,,,RF
