Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1,53 (52),04-Jun,PIT,,NYM,"W,11-6",CG,5,4,3,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.5,0.6,0.5,1.1,1,0.51,0.058,0.33,0.02%,1.3,CF
2,2,54,05-Jun,PIT,@,HOU,"L,1-9",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333,0.25,0.583,1,0.81,-0.085,0.56,-0.04%,-0.84,CF
3,3,55,06-Jun,PIT,@,HOU,"W,6-4",CG,5,5,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.231,0.286,0.231,0.516,1,1.26,0.097,0.88,0.04%,0.53,CF
4,4,56,07-Jun,PIT,@,HOU,"L,4-6",CG,5,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.368,0.333,0.702,1,1.62,0.148,1.11,0.06%,1.44,CF
5,5,57,08-Jun,PIT,@,ATL,"L,6-7",CG(15),7,7,2,4,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0.4,0.423,0.6,1.023,1,1.79,0.168,1.12,0.06%,1.74,CF
6,6,58,09-Jun,PIT,@,ATL,"L,3-4",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.379,0.4,0.552,0.952,1,0.62,-0.023,0.36,-0.01%,-0.24,CF
7,7,59,10-Jun,PIT,@,ATL,"W,3-2",CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.324,0.343,0.471,0.813,1,0.88,-0.091,0.48,-0.03%,-1.14,CF
8,8,60,11-Jun,PIT,@,ATL,"W,3-1",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.316,0.333,0.447,0.781,1,1.16,0.024,0.67,0.01%,-0.11,CF
9,9,61,12-Jun,PIT,,DET,"L,1-3",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.326,0.429,0.754,1,1.32,-0.098,0.85,-0.04%,-1,CF
10,10,62,13-Jun,PIT,,DET,"W,9-3",CG,5,4,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0.304,0.333,0.413,0.746,1,0.85,-0.004,0.53,0.00%,0.58,CF
