Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,735,1,Mar 31,PIT,,CHC,W1-0,CG(10),4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.500,.333,.833,3,1.66,-0.068,1.76,-0.04%,-0.21,CF
2,736,2,Apr 2,PIT,,CHC,W4-3,CG(16),7,4,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,.143,.455,.143,.597,3,1.77,-0.177,1.96,-0.12%,-0.84,CF
3,737,3,Apr 3,PIT,,CHC,L2-3,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.100,.400,.100,.500,3,1.38,-0.022,1.66,-0.02%,-0.49,CF
4,738,4,Apr 4,PIT,,STL,W12-2,GS-9,5,5,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,.200,.400,.333,.733,3,.60,-0.026,.68,-0.02%,1.15,CF
5,739,5,Apr 5,PIT,,STL,L1-6,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.211,.400,.316,.716,3,.81,0.012,.91,0.01%,0.00,CF
6,740,6,Apr 6,PIT,,STL,W2-1,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.217,.379,.348,.727,3,.57,0.014,.68,0.01%,0.02,CF
7,741,7,Apr 8,PIT,@,CHC,W7-6,CG,5,3,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.269,.441,.385,.826,3,1.34,0.174,1.54,0.12%,1.42,CF
8,742,8,Apr 9,PIT,@,CHC,L5-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.233,.395,.333,.728,3,.38,-0.038,.44,-0.03%,-0.61,CF
9,743,9,Apr 10,PIT,@,CHC,W5-4,CG,5,3,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,.212,.395,.303,.698,3,1.11,-0.047,1.33,-0.03%,-0.45,CF
10,744,10,Apr 11,PIT,@,MIL,L2-4,GS-8,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,.194,.383,.278,.661,3,.66,-0.031,.82,-0.02%,-0.28,CF
11,745,11,Apr 12,PIT,@,MIL,L2-3,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.225,.392,.325,.717,3,1.71,-0.155,2.09,-0.11%,-0.47,CF
