Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,881,1,Apr 6,PIT,@,CIN,L2-5,CG,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.500,.500,1.250,1.750,3,.99,0.304,1.04,0.19%,1.60,CF
2,882,2,Apr 8,PIT,@,CIN,L4-5,CG(11),6,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.222,.300,.556,.856,3,1.71,0.014,1.84,0.01%,-0.02,CF
3,883,3,Apr 9,PIT,@,CIN,L2-3,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.286,.417,.702,3,1.57,-0.146,1.52,-0.09%,-1.20,CF
4,884,4,Apr 10,PIT,@,MIL,W6-2,GS-9,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.125,.263,.313,.576,3,.34,-0.012,.31,-0.01%,-0.49,CF
5,885,6 (1),Apr 12,PIT,@,MIL,W10-2,CG,5,5,2,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,.190,.292,.476,.768,3,1.00,0.210,.89,0.11%,2.18,CF
6,886,7,Apr 13,PIT,,DET,W5-4,CG,4,3,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.208,.286,.458,.744,3,.57,-0.011,.49,-0.01%,-0.01,CF
7,887,8,Apr 14,PIT,,DET,L0-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.258,.407,.665,3,1.13,-0.084,.98,-0.04%,-0.53,CF
8,888,9,Apr 15,PIT,,DET,L0-1,CG,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.207,.294,.414,.708,3,.91,-0.043,.77,-0.02%,-0.19,CF
9,889,10,Apr 17,PIT,,MIL,W6-3,CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.212,.289,.424,.714,4,1.30,0.052,1.16,0.03%,0.04,CF
10,890,11,Apr 18,PIT,,MIL,W6-2,CG,4,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.206,.333,.412,.745,3,.62,0.016,.59,0.01%,0.25,CF
11,891,12,Apr 19,PIT,,MIL,W5-2,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.211,.326,.395,.721,3,1.18,-0.039,1.10,-0.02%,-0.39,CF
12,892,13,Apr 20,PIT,,CHC,L2-5,CG,4,4,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.238,.340,.429,.769,3,.67,0.105,.76,0.07%,0.74,CF
13,893,14,Apr 21,PIT,,CHC,L8-9,CG,5,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,.222,.345,.400,.745,3,1.60,0.063,1.71,0.04%,0.59,CF
14,894,15,Apr 22,PIT,,CHC,W4-3,CG,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.204,.322,.367,.689,3,.52,-0.028,.53,-0.02%,-0.41,CF
15,895,16,Apr 23,PIT,,CHC,W5-4,7-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.317,.360,.677,9,1.50,-0.037,1.55,-0.02%,-0.22,PH
16,896,17,Apr 24,PIT,@,ARI,W4-1,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.189,.313,.340,.652,3,.54,-0.040,.52,-0.02%,-0.50,CF
17,897,18,Apr 25,PIT,@,ARI,W2-1,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.175,.294,.316,.610,3,1.26,-0.124,1.25,-0.07%,-0.83,CF
18,898,19,Apr 26,PIT,@,ARI,W8-0,CG,5,2,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,.186,.315,.322,.637,3,.63,0.081,.66,0.05%,0.88,CF
19,899,20,Apr 27,PIT,@,CHC,L0-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.175,.299,.302,.600,3,.41,-0.040,.50,-0.03%,-0.60,CF
20,900,21,Apr 28,PIT,@,CHC,L2-6,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.179,.296,.299,.595,3,.37,-0.008,.46,-0.01%,-0.21,CF
21,901,22,Apr 29,PIT,@,CHC,W8-1,CG,5,5,1,2,0,1,0,2,0,0,2,0,0,0,0,0,0,0,.194,.302,.333,.636,3,.91,0.000,1.06,0.00%,1.20,CF
22,902,23,May 1,PIT,@,STL,L1-2,CG(10),4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.197,.300,.329,.629,3,1.32,-0.041,1.59,-0.03%,-0.73,CF
23,903,24,May 2,PIT,@,STL,L1-2,CG(11),6,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.198,.302,.321,.623,3,1.53,-0.150,1.83,-0.11%,-0.59,CF
24,904,25,May 3,PIT,@,STL,L2-3,CG(14),7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.193,.291,.307,.598,3,1.47,-0.234,1.70,-0.16%,-1.01,CF
25,905,26,May 5,PIT,,CIN,L1-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.280,.293,.574,3,.74,-0.072,.71,-0.04%,-0.66,CF
26,906,27,May 6,PIT,,CIN,L0-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.279,.292,.571,3,.86,-0.033,.78,-0.02%,-0.25,CF
27,907,28,May 7,PIT,,CIN,W7-2,CG,5,4,2,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,.210,.302,.320,.622,3,1.12,0.187,.90,0.09%,2.68,CF
28,908,29,May 8,PIT,,STL,L5-8,CG,5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.219,.306,.333,.639,3,1.05,0.023,1.03,0.01%,-0.25,CF
29,909,30,May 9,PIT,,STL,W7-5,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.220,.304,.339,.643,3,.41,-0.009,.35,0.00%,-0.20,CF
30,910,31,May 10,PIT,,STL,W4-3,CG,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.223,.310,.348,.658,3,.90,0.090,.85,0.05%,0.63,CF
31,911,32,May 11,PIT,@,PHI,W4-3,CG,4,2,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,.219,.308,.342,.650,3,1.39,0.003,1.13,0.00%,-0.33,CF
32,912,33,May 12,PIT,@,PHI,W7-2,CG,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,.229,.314,.373,.687,3,.62,0.016,.56,0.01%,1.30,CF
33,913,34,May 13,PIT,@,PHI,L2-3,CG,4,3,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,.231,.319,.372,.691,3,1.53,0.209,1.40,0.11%,1.71,CF
34,914,35,May 14,PIT,@,PHI,L2-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.230,.317,.369,.686,7,1.16,-0.032,1.03,-0.02%,-0.21,PH
35,915,36,May 15,PIT,@,CHC,L10-11,CG(12),7,4,1,2,0,0,1,3,3,1,0,0,0,0,0,0,0,0,.238,.336,.397,.732,3,1.81,0.082,1.75,0.05%,2.15,CF
36,916,37,May 16,PIT,@,CHC,L1-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.327,.385,.711,3,1.89,-0.195,1.78,-0.11%,-1.19,CF
37,917,38,May 17,PIT,@,CHC,W3-0,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.233,.331,.383,.715,3,.65,0.026,.57,0.01%,0.29,CF
38,918,39,May 19,PIT,,MIN,L5-8,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.225,.321,.370,.691,3,.69,-0.092,.56,-0.04%,-1.38,CF
39,919,40,May 20,PIT,,MIN,L3-4,CG(13),6,5,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,.238,.333,.399,.732,3,1.79,0.454,1.32,0.20%,1.21,CF
40,920,41,May 22,PIT,,NYM,W4-1,CG,4,3,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.240,.337,.404,.741,3,.41,0.041,.28,0.02%,0.67,CF
41,921,42,May 23,PIT,,NYM,W8-2,GS-7,4,4,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.253,.347,.440,.787,3,.38,0.161,.30,0.08%,2.28,CF
42,922,43,May 24,PIT,,NYM,W9-1,CG,5,3,2,2,0,0,1,2,2,1,0,0,0,0,0,0,0,0,.261,.359,.464,.823,3,.81,0.267,.70,0.14%,1.76,CF
43,923,44,May 25,PIT,,MIA,W4-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.255,.351,.452,.804,3,.58,-0.091,.54,-0.05%,-1.15,CF
44,924,45,May 26,PIT,,MIA,W5-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.349,.447,.796,3,.41,0.039,.39,0.02%,0.04,CF
45,925,46,May 27,PIT,,MIA,W5-2,CG,4,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,.262,.358,.457,.815,3,1.51,0.167,1.44,0.10%,1.11,CF
46,926,47,May 28,PIT,@,SDP,W11-5,CG,5,5,2,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,.272,.364,.473,.837,3,.45,0.027,.47,0.02%,2.03,CF
47,927,48,May 29,PIT,@,SDP,L2-6,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.267,.361,.465,.827,3,.76,-0.052,.79,-0.03%,-0.56,CF
48,928,49,May 30,PIT,@,SDP,W5-2,CG,5,3,1,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,.274,.372,.474,.846,3,.92,0.112,.97,0.07%,1.87,CF
49,929,50,May 31,PIT,@,SDP,L1-7,GS-7,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.275,.371,.472,.843,3,.50,-0.028,.55,-0.02%,-0.85,CF
50,930,51,Jun 1,PIT,@,SFG,W4-3,CG,4,2,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,.278,.369,.472,.841,3,1.96,-0.019,2.16,-0.01%,-0.19,CF
51,931,52,Jun 2,PIT,@,SFG,W7-4,CG,5,5,2,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,.292,.379,.497,.876,3,.86,0.282,1.00,0.20%,2.68,CF
52,932,53,Jun 3,PIT,@,SFG,W5-2,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.293,.381,.495,.876,3,.78,0.016,.91,0.01%,0.11,CF
53,933,54,Jun 5,PIT,@,ATL,W10-8,CG,5,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.295,.382,.497,.879,3,1.06,0.067,1.21,0.05%,1.22,CF
54,934,55,Jun 6,PIT,@,ATL,L4-5,CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.294,.379,.508,.887,3,1.63,0.091,1.97,0.07%,1.06,CF
