Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,349,1,Apr 7,PIT,@,STL,L0-9,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.250,.250,.500,2,.60,-0.014,.60,-0.01%,-0.47,3.00,3.00,CF
2,350,2,Apr 9,PIT,@,STL,L2-6,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.222,.222,.444,2,1.00,-0.034,.96,-0.02%,-0.50,3.00,3.00,CF
3,351,3,Apr 10,PIT,@,STL,W9-4,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.214,.214,.214,.429,2,.73,-0.007,.70,0.00%,-0.84,5.00,6.20,CF
4,352,4,Apr 12,PIT,,CHC,L1-2,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.278,.278,.444,.722,2,1.18,0.016,1.20,0.01%,0.50,17.00,21.70,CF
5,353,5,Apr 13,PIT,,CHC,W6-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.227,.227,.364,.591,2,.77,-0.111,.70,-0.06%,-1.57,0.00,0.00,CF
6,354,6,Apr 14,PIT,,WSN,W9-4,CG,5,3,1,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.280,.333,.520,.853,2,.74,0.188,.68,0.10%,2.37,23.00,31.20,CF
7,355,7,Apr 15,PIT,,WSN,L2-7,CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.276,.323,.483,.805,2,.57,-0.034,.54,-0.02%,-0.42,3.00,3.00,CF
8,356,8,Apr 16,PIT,,WSN,W6-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.314,.455,.769,2,1.03,-0.017,.96,-0.01%,-0.30,3.00,3.00,CF
9,357,10 (1),Apr 18,PIT,@,MIL,L1-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.270,.308,.432,.740,2,.66,-0.051,.68,-0.03%,-0.97,3.00,3.00,CF
10,358,11,Apr 19,PIT,@,MIL,L2-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.244,.279,.390,.669,2,.65,-0.065,.64,-0.04%,-0.77,0.00,0.00,CF
11,359,12,Apr 20,PIT,@,MIL,L2-4,CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.227,.277,.364,.640,2,1.67,-0.112,1.63,-0.07%,-0.81,2.00,3.00,CF
12,360,13,Apr 21,PIT,@,CHC,W4-3,CG,5,4,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,.229,.288,.396,.684,2,1.08,0.022,.99,0.01%,0.15,10.00,12.00,CF
13,361,14,Apr 22,PIT,@,CHC,W4-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.212,.268,.365,.633,2,.65,-0.025,.62,-0.02%,-0.37,0.00,0.00,CF
14,362,15,Apr 23,PIT,@,CHC,L0-21,GS-6,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.254,.345,.600,2,.25,-0.019,.27,-0.01%,-0.56,0.00,0.00,CF
15,363,16,Apr 24,PIT,@,CHC,W4-3,CG,5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.190,.266,.328,.593,2,.89,-0.044,.87,-0.03%,-0.52,6.00,9.20,DH CF
16,364,18 (1),Apr 27,PIT,,MIL,L1-3,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.194,.265,.323,.587,2,1.10,0.072,1.12,0.04%,0.60,3.00,3.00,CF
17,365,19,Apr 28,PIT,,MIL,L2-3,CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.197,.264,.318,.582,2,.93,-0.021,.88,-0.01%,-0.34,3.00,3.00,CF
18,366,20,Apr 29,PIT,,SDP,L3-7,CG,5,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.188,.273,.304,.577,2,.99,-0.015,.78,-0.01%,-0.35,13.00,18.40,CF
19,367,21,Apr 30,PIT,,SDP,W7-6,CG(10),5,3,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,.194,.293,.306,.598,2,1.91,0.453,1.43,0.20%,2.70,11.00,15.70,CF
20,368,22,May 1,PIT,,SDP,L2-5,CG,4,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.203,.314,.311,.625,2,1.17,0.147,.91,0.07%,0.86,9.00,12.20,CF
21,369,23,May 4 (1),PIT,@,DET,L2-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.205,.311,.308,.619,2,1.16,-0.091,.80,-0.04%,-0.74,3.00,3.00,CF
22,370,24,May 4 (2),PIT,@,DET,W7-2,CG,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,.217,.316,.337,.653,2,1.25,0.101,.83,0.04%,0.04,12.00,15.20,CF
23,371,25,May 7 (1),PIT,@,CIN,L2-9,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.209,.313,.326,.639,2,1.84,0.033,1.22,0.01%,0.10,2.00,3.00,CF
24,372,26,May 7 (2),PIT,@,CIN,W8-5,CG,5,5,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.220,.317,.363,.680,2,.50,-0.011,.31,0.00%,-0.61,17.00,21.70,CF
25,373,27,May 8,PIT,@,CIN,L3-7,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.223,.324,.394,.718,2,.54,0.035,.38,0.02%,0.84,16.00,21.70,CF
