Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,1762,1,Apr 7,MIL,@,CHC,L4-5,CG,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.400,.600,1.000,4,1.58,-0.058,1.56,-0.03%,0.23,10.00,12.20,DH
2,1763,2,Apr 9,MIL,@,CHC,L0-9,CG,4,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.375,.444,.500,.944,1,.34,0.023,.34,0.01%,0.17,5.00,6.00,DH
3,1764,3,Apr 10,MIL,@,CHC,W5-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.308,.333,.641,4,1.09,-0.132,1.01,-0.07%,-1.05,0.00,0.00,DH
4,1765,4,Apr 11,MIL,@,BAL,L0-2,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.294,.375,.669,1,1.60,-0.108,1.43,-0.06%,-0.77,5.00,6.00,LF
5,1766,5,Apr 12,MIL,@,BAL,W5-4,CG,4,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,.300,.333,.450,.783,4,1.70,0.248,1.49,0.13%,1.72,14.00,19.50,DH
6,1767,6,Apr 13,MIL,@,BAL,W4-2,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.308,.375,.683,1,.73,-0.059,.65,-0.03%,-1.06,2.00,3.00,DH
7,1768,7,Apr 14,MIL,,STL,W5-1,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.300,.357,.657,4,.61,0.061,.65,0.04%,0.06,5.00,6.50,DH
8,1769,8,Apr 15,MIL,,STL,L1-10,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.294,.344,.638,4,.16,-0.013,.17,-0.01%,-0.30,5.00,6.20,LF
9,1770,9,Apr 16,MIL,,STL,L1-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.250,.289,.333,.623,1,1.09,-0.008,1.10,-0.01%,-0.14,8.00,9.00,DH
10,1771,10,Apr 17,MIL,,STL,W6-5,CG,4,3,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,.282,.310,.359,.668,4,1.22,0.085,1.25,0.05%,1.06,15.00,18.70,RF
11,1772,11,Apr 18,MIL,,PIT,W6-1,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.262,.304,.333,.638,4,.69,-0.039,.70,-0.02%,-0.66,2.00,3.00,DH
12,1773,12,Apr 19,MIL,,PIT,W5-2,CG,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.250,.306,.318,.624,4,.45,0.027,.49,0.02%,0.07,4.00,6.20,DH
13,1774,14 (1),Apr 22,MIL,@,PHI,L2-4,CG,5,3,0,1,1,0,0,1,1,0,2,0,0,1,0,0,0,0,.255,.315,.340,.655,1,1.09,0.098,1.17,0.06%,0.63,9.00,12.50,DH
14,1775,15,Apr 23,MIL,@,PHI,W5-3,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.255,.310,.333,.644,4,.76,-0.040,.81,-0.03%,-0.43,3.00,3.00,DH
15,1776,16,Apr 24,MIL,@,PHI,W1-0,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.255,.306,.327,.634,1,1.47,0.109,1.59,0.07%,0.01,3.00,3.00,LF
16,1777,17,Apr 25,MIL,,SFG,L2-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.237,.288,.305,.593,1,1.15,-0.113,1.29,-0.08%,-0.90,0.00,0.00,DH
17,1778,18,Apr 26,MIL,@,PIT,W12-8,CG,5,4,1,1,0,0,0,0,1,0,3,0,0,0,0,0,1,1,.238,.296,.302,.597,4,.66,-0.064,.77,-0.05%,-0.49,12.00,15.20,DH
18,1779,19,Apr 27,MIL,@,PIT,W3-1,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.221,.276,.279,.556,1,1.09,-0.145,1.32,-0.11%,-1.81,0.00,0.00,DH
19,1780,20,Apr 28,MIL,@,PIT,W3-2,CG,5,4,1,3,0,0,1,3,1,0,1,0,0,0,0,0,0,0,.250,.309,.347,.656,1,2.37,0.535,3.03,0.41%,2.70,26.00,34.70,DH
20,1781,21,Apr 29,MIL,,CHC,W11-1,CG,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,.247,.302,.377,.679,4,.47,-0.030,.59,-0.02%,-0.79,14.00,18.70,DH
21,1782,22,Apr 30,MIL,,CHC,W9-1,CG,5,5,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.232,.286,.354,.639,1,.50,-0.004,.64,0.00%,-0.78,2.00,3.20,DH
22,1783,23,May 1,MIL,,CHC,L0-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.221,.274,.337,.611,4,.91,-0.098,1.19,-0.08%,-0.74,0.00,0.00,DH
23,1784,24,May 3,MIL,,CIN,W6-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.263,.322,.585,4,.82,-0.077,.99,-0.06%,-1.20,0.00,0.00,DH
24,1785,25,May 4,MIL,,CIN,W18-4,CG,6,5,2,4,1,0,0,4,1,0,0,0,0,0,0,0,0,0,.242,.295,.358,.653,4,.64,0.135,.77,0.10%,4.16,28.00,38.40,DH
25,1786,27 (1),May 6,MIL,@,ATL,W6-3,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.240,.291,.350,.641,4,.99,-0.094,1.25,-0.07%,-1.33,5.00,6.20,LF
26,1787,39 (11),May 20,MIL,,WSN,W7-0,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.233,.289,.340,.629,5,.58,-0.049,.71,-0.04%,-0.19,4.00,6.20,DH
27,1788,40,May 21,MIL,,WSN,W5-1,CG,5,5,1,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.250,.303,.389,.691,1,.40,0.087,.50,0.07%,1.54,22.00,27.70,DH
28,1789,41,May 22,MIL,,WSN,L2-8,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.301,.384,.685,2,.47,-0.026,.56,-0.02%,-0.06,5.00,6.50,LF
29,1790,42,May 23,MIL,@,SDP,L2-3,CG(10),5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.248,.297,.376,.673,4,1.97,-0.403,2.54,-0.31%,-2.16,5.00,6.20,DH
30,1791,43,May 24,MIL,@,SDP,W4-1,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.242,.295,.367,.662,1,.71,0.016,.93,0.01%,-0.03,2.00,3.00,LF
31,1792,44,May 25,MIL,@,SDP,W2-1,CG,4,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.252,.309,.374,.683,4,1.30,0.143,1.60,0.11%,0.97,10.00,12.20,DH
32,1793,45,May 26,MIL,@,STL,W4-3,CG,5,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.258,.312,.375,.687,4,.99,0.049,1.42,0.04%,0.20,10.00,12.70,DH
33,1794,46,May 27,MIL,@,STL,L2-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.250,.303,.364,.667,4,2.00,-0.292,2.77,-0.24%,-2.65,0.00,0.00,RF
34,1795,47,May 28,MIL,@,STL,L3-8,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.241,.293,.350,.644,1,.42,-0.053,.60,-0.05%,-1.56,0.00,0.00,DH
35,1796,48,May 29,MIL,@,STL,W8-0,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.232,.284,.338,.622,4,.37,-0.045,.52,-0.04%,-0.91,0.00,0.00,LF
36,1797,49,May 30 (1),MIL,@,CHC,W7-6,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.229,.280,.333,.614,8,1.46,-0.138,1.85,-0.11%,-0.93,0.00,0.00,PH RF
37,1798,50,May 30 (2),MIL,@,CHC,W3-1,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.221,.272,.322,.594,1,.69,-0.085,.87,-0.06%,-0.89,0.00,0.00,LF
38,1799,51,May 31,MIL,@,CHC,L7-8,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.214,.263,.312,.575,1,.89,-0.111,1.06,-0.08%,-1.02,0.00,0.00,DH
39,1800,53 (1),Jun 2,MIL,,SDP,W5-4,CG,5,5,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.214,.262,.308,.570,1,1.90,-0.040,2.44,-0.03%,-0.58,7.00,10.00,RF
40,1801,54,Jun 3,MIL,,SDP,L0-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.209,.256,.301,.556,4,.41,-0.042,.52,-0.03%,-0.97,0.00,0.00,DH
