Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1347,1,Mar 29,SFG,@,LAD,W1-0,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,.250,.250,.500,.750,3,.83,-0.102,.94,-0.07%,-1.09,RF
2,1348,2,Mar 30,SFG,@,LAD,W1-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,.125,.125,.250,.375,3,.76,-0.028,.86,-0.02%,-0.17,RF
3,1349,3,Mar 31,SFG,@,LAD,L0-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.083,.083,.167,.250,3,.80,-0.082,.95,-0.06%,-1.15,RF
4,1350,4,Apr 1,SFG,@,LAD,L0-9,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.063,.063,.125,.188,3,1.28,-0.149,1.48,-0.10%,-1.50,RF
5,1351,5,Apr 3,SFG,,SEA,L4-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.100,.150,.250,3,1.40,-0.056,1.31,-0.03%,-0.33,RF
6,1352,6,Apr 4,SFG,,SEA,W10-1,CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.083,.120,.125,.245,3,.50,-0.061,.45,-0.03%,-1.69,RF
7,1353,7,Apr 7,SFG,,LAD,W7-5,CG(14),7,7,2,6,1,0,1,4,0,0,0,0,0,0,0,0,1,0,.258,.281,.419,.701,3,2.72,0.564,2.97,0.37%,4.03,RF
8,1354,8,Apr 8,SFG,,LAD,L1-2,CG(10),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.229,.250,.371,.621,3,1.34,-0.132,1.48,-0.09%,-0.66,RF
9,1355,9,Apr 9,SFG,,ARI,L1-2,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.231,.250,.359,.609,3,1.01,0.004,1.20,0.00%,0.09,RF
10,1356,10,Apr 10,SFG,,ARI,W5-4,CG,5,3,1,1,0,0,0,2,2,0,1,0,0,0,0,0,1,0,.238,.289,.357,.646,3,2.84,0.597,3.10,0.39%,2.66,RF
11,1357,11,Apr 11,SFG,,ARI,L3-7,CG,4,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.217,.265,.326,.591,3,1.05,-0.061,1.23,-0.04%,-0.44,RF
12,1358,12,Apr 12,SFG,@,SDP,W7-0,GS-9,5,4,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,.220,.278,.320,.598,3,.66,0.109,.65,0.06%,1.73,RF
13,1359,13,Apr 13,SFG,@,SDP,L1-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.204,.259,.296,.555,3,2.03,-0.232,2.03,-0.14%,-2.04,RF
14,1360,14,Apr 14,SFG,@,SDP,L4-5,CG,4,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.214,.290,.357,.647,3,.84,0.033,.82,0.02%,0.33,RF
15,1361,15,Apr 15,SFG,@,SDP,L1-10,GS-8,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.203,.288,.339,.627,3,.44,-0.043,.40,-0.02%,-0.32,RF
16,1362,16,Apr 17,SFG,@,ARI,L0-1,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.194,.275,.323,.598,3,1.00,-0.074,.95,-0.04%,-0.57,RF
17,1363,17,Apr 18,SFG,@,ARI,W4-3,CG(10),5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.209,.284,.328,.612,3,1.22,0.079,1.04,0.04%,-0.04,RF
18,1364,18,Apr 19,SFG,@,ARI,L1-3,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.282,.338,.620,3,1.35,-0.108,1.30,-0.06%,-0.64,RF
19,1365,19,Apr 20,SFG,@,LAA,W8-1,GS-9,4,4,1,1,0,0,1,3,0,0,1,0,0,0,1,0,0,0,.213,.280,.373,.654,3,.50,0.042,.34,0.02%,1.65,DH
