Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,109,1,Apr 5,PIT,,LAD,W11-5,CG,5,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,.250,.400,.500,.900,2,.69,0.002,.68,0.00%,0.09,CF
2,110,2,Apr 7,PIT,,LAD,W4-3,CG(10),5,5,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.444,.500,.556,1.056,2,1.01,0.090,1.02,0.05%,0.71,CF
3,111,3,Apr 8,PIT,,LAD,L2-10,GS-9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.308,.357,.385,.742,2,1.03,-0.139,1.12,-0.09%,-1.07,CF
4,112,4,Apr 9,PIT,@,ARI,L1-9,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.235,.278,.294,.572,2,.71,-0.082,.68,-0.05%,-1.16,CF
5,113,5,Apr 10,PIT,@,ARI,W6-3,CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.227,.261,.273,.534,2,.54,-0.049,.54,-0.03%,-0.30,CF
6,114,6,Apr 11,PIT,@,ARI,L6-15,CG,5,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.259,.286,.407,.693,2,.63,0.140,.62,0.08%,0.80,CF
7,115,7,Apr 12,PIT,@,SFG,L3-9,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.258,.281,.387,.668,2,1.01,-0.050,.97,-0.03%,-0.72,CF
8,116,8,Apr 13,PIT,@,SFG,W6-5,CG,5,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,.265,.324,.382,.707,2,.76,0.115,.67,0.06%,0.82,CF
9,117,9,Apr 14,PIT,@,SFG,L0-6,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.243,.317,.351,.668,2,.30,0.009,.30,0.01%,-0.29,CF
10,118,10,Apr 16,PIT,,CIN,W4-3,CG,5,4,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.268,.348,.366,.714,2,1.11,0.092,1.20,0.06%,0.03,CF
11,119,11,Apr 17,PIT,,CIN,W5-4,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.267,.353,.356,.708,2,2.37,-0.306,2.59,-0.20%,-1.02,CF
12,120,12,Apr 18,PIT,,CIN,W5-3,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.250,.345,.333,.679,2,.58,-0.049,.68,-0.03%,-0.27,CF
13,121,13,Apr 20,PIT,,MIL,L1-8,CG,4,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.288,.373,.404,.777,2,.40,-0.021,.46,-0.02%,0.77,CF
14,122,14,Apr 21,PIT,,MIL,L0-8,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,.273,.365,.382,.747,2,.62,0.012,.72,0.01%,-0.25,CF
15,123,15,Apr 22,PIT,,MIL,L0-20,GS-8,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.358,.373,.731,2,.42,-0.056,.45,-0.04%,-0.76,CF
16,124,16,Apr 23,PIT,@,HOU,L3-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.338,.349,.687,2,1.00,-0.098,.97,-0.06%,-0.62,CF
17,125,17,Apr 24,PIT,@,HOU,L2-5,CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.254,.333,.343,.677,3,1.17,-0.059,1.09,-0.03%,-0.68,CF
18,126,18,Apr 25,PIT,@,HOU,L3-10,CG,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,.278,.350,.361,.711,2,.67,-0.085,.58,-0.04%,-0.41,CF
19,127,19,Apr 26,PIT,@,MIL,L3-17,CG,5,5,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.286,.353,.377,.730,1,.49,-0.011,.41,-0.01%,1.00,CF
20,128,20,Apr 27,PIT,@,MIL,W7-3,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.280,.344,.366,.710,1,1.14,-0.104,.81,-0.05%,-0.67,CF
21,129,21,Apr 28,PIT,@,MIL,W6-5,CG(14),7,7,2,4,0,0,2,2,0,0,2,0,0,0,0,0,0,0,.303,.361,.449,.810,3,1.82,0.369,1.48,0.18%,1.75,CF
22,130,22,Apr 29,PIT,@,LAD,W2-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.290,.347,.430,.777,3,.84,-0.088,.66,-0.04%,-1.11,CF
23,131,23,Apr 30,PIT,@,LAD,L2-6,CG,4,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.299,.352,.443,.796,3,.76,0.101,.64,0.05%,1.00,CF
24,132,24,May 1,PIT,@,LAD,L1-5,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.297,.349,.465,.814,3,.46,0.071,.38,0.04%,0.53,CF
25,133,25,May 2,PIT,@,LAD,L3-9,GS-6,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.339,.452,.791,3,.81,-0.061,.62,-0.03%,-0.66,CF
26,134,27 (1),May 5,PIT,,CHC,W4-2,CG,4,4,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.296,.345,.463,.808,3,.79,0.112,.68,0.06%,1.12,CF
27,135,28,May 6,PIT,,CHC,W11-1,GS-5,3,2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.309,.356,.473,.829,3,.78,0.092,.71,0.05%,1.52,CF
28,136,29,May 7,PIT,,STL,L3-4,CG,4,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.325,.369,.491,.860,3,1.67,0.299,1.76,0.19%,1.34,CF
29,137,30,May 8,PIT,,STL,W2-0,CG,4,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,.333,.381,.513,.894,3,.57,0.030,.55,0.02%,0.33,CF
30,138,31,May 9,PIT,,STL,L4-11,CG,4,3,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.333,.385,.517,.901,3,.26,0.030,.28,0.02%,1.28,CF
31,139,32,May 10,PIT,,CIN,L1-2,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.325,.381,.504,.885,3,1.56,-0.078,1.36,-0.04%,-0.13,CF
32,140,33,May 11,PIT,,CIN,L0-9,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.317,.372,.492,.864,3,.47,-0.035,.38,-0.02%,-0.40,CF
33,141,34,May 12,PIT,,CIN,L0-5,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.310,.364,.481,.845,3,.38,-0.028,.30,-0.01%,-0.48,CF
34,142,35,May 14,PIT,@,CHC,W10-6,CG,6,5,5,5,0,0,1,2,1,0,0,0,0,0,0,0,2,0,.336,.390,.522,.913,3,1.37,0.373,.95,0.16%,3.77,CF
35,143,36,May 15,PIT,@,CHC,W4-3,CG,4,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.343,.400,.526,.926,3,1.24,0.172,.93,0.08%,1.91,CF
36,144,37,May 16,PIT,@,CHC,L3-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.340,.396,.518,.914,3,.91,-0.079,.76,-0.04%,-0.62,CF
37,145,38,May 17,PIT,@,PHI,L2-12,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.331,.386,.503,.890,3,.44,-0.044,.32,-0.02%,-0.82,CF
38,146,39,May 18,PIT,@,PHI,W2-1,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.329,.383,.497,.879,3,1.03,-0.032,.62,-0.01%,-0.28,CF
39,147,40,May 19,PIT,,MIL,W6-4,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.329,.386,.493,.879,3,1.09,0.020,.76,0.01%,-0.04,CF
40,148,41,May 20,PIT,,MIL,L3-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.327,.382,.487,.870,3,1.58,-0.115,1.25,-0.05%,-0.51,CF
41,149,42,May 21,PIT,,ATL,L0-7,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.321,.379,.478,.857,3,.55,0.016,.39,0.01%,-0.29,CF
42,150,43,May 22,PIT,,ATL,L2-4,CG,5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.319,.380,.472,.852,3,1.87,-0.121,1.15,-0.05%,-0.26,CF
43,151,44,May 23,PIT,,ATL,W3-2,CG(10),5,4,1,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,.323,.386,.485,.871,3,1.18,0.082,.66,0.03%,0.18,CF
44,152,45,May 24,PIT,@,CIN,L5-7,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.320,.381,.477,.858,3,1.31,-0.023,.86,-0.01%,-0.11,CF
45,153,46,May 25,PIT,@,CIN,W2-1,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.324,.383,.477,.861,3,.74,-0.032,.46,-0.01%,-0.35,CF
46,154,47,May 26,PIT,@,CIN,L0-4,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.318,.381,.469,.850,3,1.42,-0.073,1.01,-0.03%,-0.62,CF
47,155,48,May 27,PIT,@,CIN,L2-8,GS-8,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.313,.378,.462,.840,3,.20,-0.014,.14,-0.01%,-0.34,CF
48,156,49,May 28,PIT,@,ATL,L3-7,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.314,.380,.459,.840,3,.56,0.021,.27,0.01%,0.32,CF
49,157,50,May 29,PIT,@,ATL,L3-6,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.314,.383,.473,.856,1,.95,0.103,.36,0.02%,0.93,CF
50,158,51,May 30,PIT,@,ATL,L2-5,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.313,.380,.469,.849,1,1.30,-0.038,.46,-0.01%,-0.31,CF
51,159,52,May 31,PIT,,CHC,W2-1,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.313,.382,.467,.849,1,.78,-0.015,.24,0.00%,-0.14,CF
52,160,53,Jun 1,PIT,,CHC,W3-2,CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.310,.385,.462,.847,1,1.27,0.041,.47,0.01%,-0.11,CF
53,161,54,Jun 4,PIT,,SFG,L4-6,CG,4,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.308,.382,.463,.845,1,1.70,0.071,.69,0.02%,0.97,CF
54,162,55,Jun 5,PIT,,SFG,W6-3,CG,5,5,3,4,2,0,1,1,0,0,1,0,0,0,0,0,0,0,.320,.391,.495,.886,1,.42,0.154,.14,0.03%,2.39,CF
55,163,56,Jun 6,PIT,,SFG,L5-6,CG(10),5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.313,.383,.483,.866,1,1.22,-0.163,.43,-0.03%,-0.99,CF
56,164,57,Jun 7,PIT,,CHC,L1-6,CG,4,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.312,.381,.488,.869,1,1.37,-0.072,.44,-0.01%,-0.41,CF
57,165,58,Jun 8,PIT,@,WSN,L2-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.374,.479,.854,1,.94,-0.100,.24,-0.02%,-0.87,CF
58,166,59,Jun 9,PIT,@,WSN,L5-7,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.300,.371,.471,.842,3,1.46,-0.068,.31,-0.01%,-0.64,CF
59,167,60,Jun 10,PIT,@,WSN,L2-4,CG,4,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,.302,.373,.471,.844,3,1.53,-0.110,.32,-0.01%,-0.58,CF
60,168,61,Jun 11,PIT,@,DET,L2-6,CG,4,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.306,.375,.480,.855,1,1.04,0.079,.15,0.01%,1.14,CF
61,169,62,Jun 12,PIT,@,DET,L3-4,CG(10),5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.303,.372,.474,.846,3,1.32,-0.045,.18,0.00%,-0.29,CF
62,170,63,Jun 13,PIT,@,DET,L3-4,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.307,.374,.475,.848,3,.78,0.048,.10,0.00%,0.41,CF
63,171,64,Jun 15,PIT,,CHW,L4-6,CG,5,4,2,3,0,0,0,1,1,0,0,0,0,0,0,0,3,0,.314,.381,.479,.861,3,1.45,0.327,.14,0.02%,2.08,CF
64,172,65,Jun 16,PIT,,CHW,L2-7,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.314,.383,.478,.861,3,.45,-0.010,.04,0.00%,0.18,CF
65,173,66,Jun 17,PIT,,CHW,L4-5,CG,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.317,.385,.478,.863,3,1.20,0.041,.09,0.00%,0.52,CF
66,174,67,Jun 18,PIT,,CLE,L3-4,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.313,.383,.472,.855,3,1.48,-0.071,.10,0.00%,0.04,CF
67,175,68,Jun 19,PIT,,CLE,W6-4,CG,5,2,4,2,0,1,0,0,3,0,0,0,0,0,0,0,1,0,.319,.394,.484,.878,3,.68,0.176,.04,0.01%,1.93,CF
68,176,69,Jun 20,PIT,,CLE,W5-3,CG,4,3,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,.315,.392,.479,.870,3,1.36,0.122,.08,0.00%,1.05,CF
69,177,70,Jun 22,PIT,@,TEX,L3-6,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.310,.386,.471,.858,3,.93,-0.100,.06,0.00%,-0.98,CF
70,178,71,Jun 23,PIT,@,TEX,L3-13,GS-7,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.308,.386,.468,.854,3,.23,0.005,.01,0.00%,-0.30,CF
71,179,72,Jun 24,PIT,@,TEX,L5-6,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.305,.384,.462,.847,3,.69,-0.026,.02,0.00%,-0.75,CF
72,180,73,Jun 25,PIT,@,OAK,L4-14,CG,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,.304,.382,.463,.845,3,1.03,0.048,.02,0.00%,0.35,CF
73,181,74,Jun 26,PIT,@,OAK,L0-5,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.300,.381,.458,.839,3,.47,-0.027,.01,0.00%,-0.57,CF
74,182,75,Jun 27,PIT,@,OAK,L2-3,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.301,.382,.457,.839,3,1.19,-0.014,.01,0.00%,-0.08,CF
