Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,135,1,Jul 24,PIT,@,STL,L4-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,1.14,-0.112,1.35,-0.08%,-0.80,,,LF
2,136,2,Jul 25,PIT,@,STL,L1-9,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.125,.000,.125,2,.66,-0.068,.77,-0.05%,-0.52,,,LF
3,137,3,Jul 26,PIT,@,STL,W5-1,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.000,.167,.000,.167,2,1.08,-0.050,1.25,-0.04%,-0.46,,,LF
4,138,4,Jul 27,PIT,,MIL,L5-6,CG(11),5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.000,.235,.000,.235,5,2.11,-0.199,2.55,-0.15%,-0.22,,,LF
5,139,5,Jul 28,PIT,,MIL,W8-6,CG,4,4,1,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,.118,.286,.176,.462,5,1.97,0.024,2.30,0.02%,1.00,,,LF
6,140,6,Jul 29,PIT,,MIL,L0-3,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.100,.250,.150,.400,5,1.02,-0.082,1.23,-0.06%,-0.75,,,LF
7,141,7,Jul 31,PIT,@,CHC,L3-6,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.083,.214,.125,.339,5,.91,-0.092,1.10,-0.07%,-1.01,,,LF
8,142,8,Aug 1,PIT,@,CHC,L3-4,CG,4,3,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.148,.281,.222,.503,5,1.32,0.041,1.53,0.03%,0.39,,,LF
9,143,9,Aug 2,PIT,@,CHC,L1-2,9-GF(11),1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.273,.214,.487,7,3.26,-0.095,3.58,-0.06%,-0.38,,,PH LF
10,144,10,Aug 3,PIT,@,MIN,L4-5,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.129,.270,.194,.464,5,.90,-0.049,.84,-0.03%,-0.39,,,LF
11,145,11,Aug 4,PIT,@,MIN,L3-7,CG,4,3,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,.147,.293,.265,.557,5,.51,0.008,.43,0.00%,0.28,,,LF
12,146,12,Aug 5,PIT,,MIN,L2-5,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.135,.273,.243,.516,5,1.15,-0.095,.86,-0.04%,-0.70,,,LF
13,147,13,Aug 6,PIT,,MIN,W6-5,CG,4,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.171,.292,.293,.584,5,2.33,0.380,1.51,0.15%,1.30,,,LF
14,148,14,Aug 7,PIT,,DET,L13-17,CG(11),6,5,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.217,.333,.326,.659,5,.68,0.064,.48,0.03%,0.65,,,LF
15,149,15,Aug 8,PIT,,DET,L5-11,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.204,.328,.306,.634,5,.61,-0.008,.38,0.00%,-0.28,,,LF
16,150,16,Aug 9,PIT,,DET,L1-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.189,.306,.283,.589,5,2.25,-0.212,1.18,-0.07%,-1.31,,,LF
17,151,17,Aug 13,PIT,@,CIN,W9-6,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.179,.303,.268,.571,5,.21,-0.003,.11,0.00%,0.14,,,LF
18,152,18,Aug 14,PIT,@,CIN,L1-8,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.183,.300,.317,.617,5,.77,0.041,.51,0.02%,0.13,,,LF
19,153,19,Aug 18,PIT,,CLE,L3-6,CG(10),5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.185,.293,.308,.601,5,1.46,-0.094,.65,-0.03%,-0.70,,,LF
20,154,20,Aug 19,PIT,,CLE,L1-6,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.176,.282,.294,.576,5,.75,-0.058,.26,-0.01%,-0.54,,,LF
21,155,21,Aug 20,PIT,,CLE,L0-2,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.174,.278,.290,.568,6,1.93,-0.050,.51,-0.01%,-0.25,,,PH
22,156,22,Aug 21,PIT,,MIL,W7-2,CG,4,4,3,3,0,1,1,4,0,0,0,0,0,0,0,0,0,0,.205,.301,.384,.685,5,.89,0.237,.22,0.03%,3.84,,,LF
23,157,23,Aug 22,PIT,,MIL,W12-5,CG,5,5,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.218,.307,.397,.704,5,.70,-0.035,.22,-0.01%,0.10,,,LF
24,158,24,Aug 23,PIT,,MIL,W5-4,CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.220,.304,.390,.695,5,1.77,-0.050,.71,-0.01%,-0.32,,,LF
25,159,25,Aug 25,PIT,@,CHW,L0-4,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.212,.295,.376,.671,3,.56,-0.043,.22,-0.01%,-0.59,,,LF
26,160,26,Aug 26,PIT,@,CHW,L3-10,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.205,.293,.364,.657,3,.53,-0.049,.18,-0.01%,-0.48,,,LF
